2026-03-18 22:26:46,525 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x000001E8FA251010>, 100.0, 'RUB') kwargs={}
2026-03-18 22:26:46,525 | convert | DEBUG | [2026-03-18 22:26:46] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001E8FA251010>, 100.0, 'RUB')
2026-03-18 22:26:46,525 | convert | DEBUG | [2026-03-18 22:26:46] [SUCCESS] Результат: 8227.0
2026-03-18 22:27:54,940 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:27:58,459 | convert | DEBUG | [2026-03-18 22:27:54] [SUCCESS] Результат: GBP
2026-03-18 22:27:58,459 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:27:59,629 | convert | DEBUG | [2026-03-18 22:27:58] [SUCCESS] Результат: 100.0
2026-03-18 22:27:59,629 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x000001C7A35F1010>, 100.0, 'GBP') kwargs={}
2026-03-18 22:27:59,630 | convert | DEBUG | [2026-03-18 22:27:59] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001C7A35F1010>, 100.0, 'GBP')
2026-03-18 22:27:59,630 | convert | DEBUG | [2026-03-18 22:27:59] [SUCCESS] Результат: 74.9
2026-03-18 22:31:02,471 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:31:04,915 | convert | DEBUG | [2026-03-18 22:31:02] [SUCCESS] Результат: RUB
2026-03-18 22:31:04,915 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:31:07,057 | convert | DEBUG | [2026-03-18 22:31:04] [SUCCESS] Результат: 123.0
2026-03-18 22:31:07,692 | convert | DEBUG | Rates from API
2026-03-18 22:31:07,693 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x0000027E090E1010>, 123.0, 'RUB') kwargs={}
2026-03-18 22:31:07,693 | convert | DEBUG | [2026-03-18 22:31:07] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x0000027E090E1010>, 123.0, 'RUB')
2026-03-18 22:31:07,693 | convert | DEBUG | [2026-03-18 22:31:07] [SUCCESS] Результат: 10119.21
2026-03-18 22:31:22,896 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:31:25,531 | convert | DEBUG | [2026-03-18 22:31:22] [SUCCESS] Результат: GBP
2026-03-18 22:31:25,531 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:31:27,052 | convert | DEBUG | [2026-03-18 22:31:25] [SUCCESS] Результат: 332.0
2026-03-18 22:31:27,664 | convert | DEBUG | Rates from API
2026-03-18 22:31:27,665 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x00000283F79A1010>, 332.0, 'GBP') kwargs={}
2026-03-18 22:31:27,665 | convert | DEBUG | [2026-03-18 22:31:27] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x00000283F79A1010>, 332.0, 'GBP')
2026-03-18 22:31:27,665 | convert | DEBUG | [2026-03-18 22:31:27] [SUCCESS] Результат: 248.668
